Territory,WHO region,Transmission zone,Year,Week,Start date,End date,Collected,Processed,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (total),B (Yamagata),B (Victoria),B (not subtyped),B (total),Total positive,Total negative,ILI activity
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,1,12/30/19,1/5/20,41,41, ,1,9,0,0,10,0,0,0,0,10,31,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,2,1/6/20,1/12/20,83,83, ,0,0,0,0,0,0,2,0,2,2,81,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,3,1/13/20,1/19/20,82,82, ,8,9,0,0,17,1,0,0,1,18,64,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,4,1/20/20,1/26/20,106,106, ,5,11,0,0,16,1,3,0,4,20,86,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,5,1/27/20,2/2/20,81,81, ,3,9,0,0,12,0,6,0,6,18,63,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,6,2/3/20,2/9/20,97,97, ,8,9,0,0,17,0,5,0,5,22,75,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,7,2/10/20,2/16/20,116,116, ,2,4,0,0,6,0,1,0,1,7,109,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,8,2/17/20,2/23/20,114,114, ,1,2,0,0,3,0,0,0,0,3,111,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,9,2/24/20,3/1/20,67,67, ,0,0,0,0,0,0,0,0,0,0,67,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,10,3/2/20,3/8/20,107,107, ,0,0,0,0,0,0,2,0,2,2,105,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,11,3/9/20,3/15/20,78,78, ,0,0,0,0,0,0,0,0,0,0,78,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,12,3/16/20,3/22/20,54,54, ,0,0,0,0,0,0,0,0,0,0,54,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,13,3/23/20,3/29/20,89,89, ,0,0,0,0,0,0,0,0,0,0,89,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,14,3/30/20,4/5/20,7,7, ,0,0,0,0,0,0,0,0,0,0,7,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,15,4/6/20,4/12/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,16,4/13/20,4/19/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,17,4/20/20,4/26/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,18,4/27/20,5/3/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,19,5/4/20,5/10/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,20,5/11/20,5/17/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,21,5/18/20,5/24/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,22,5/25/20,5/31/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,23,6/1/20,6/7/20,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
